ID,Activity
GLYASNt,0
GLYLEUPEPT1t,0
GLYPHEt,0
METALAt,0
PROGLYt,0
FE3abc,0
12ETHDt,2
12PPDRt,0
12PPDt,0
7OCHOLATEt2,0
ACGALr,0
ACNAMt2r,0
ACtr,2
ASNt2r,0
ASPt2r,0
BTNt2,4
CYSt2r,1
D_LACt2,0
DALAt2r,0
ETOHt,2
FOLt,0
FORt,0
GALAMt2r,0
GAMt2r,0
GCHOLAt2,0
GLNt2r,0
GLYt2r,0
H2St,2
HISt2r,0
ILEt2r,0
ISOBUTt2r,0
ISOCAPRt2r,0
ISOVALt2r,0
LEUt2r,0
LPS_BTabc,0
MALTt2r,4
MANTRabc,0
MELIBabc,0
MEOHt2,0
